"pob","pib","tiempo"
2839,28819.9556347892,1989
2843,30108.6729696458,1990
3017,29650.984200432,1991
2927,30328.4473176729,1992
3194,33451.3282624977,1993
3191,34709.5636589528,1994
3121,34378.1261144954,1995
3453,35086.8477376016,1996
3463,36231.7574944012,1997
3831,36699.665589252,1998
3774,35811.655112955,1999
3990,36715.0069191617,2000
4215,38392.887066257,2001
4237,37994.6933096048,2002
4514,38710.329415284,2003
4596,40705.0037845705,2004
4944,44370.682197295,2005
4639,46608.3893540664,2006
4674,45204.9930211442,2007
5037,48263.3423691481,2008
5144,48336.9322061269,2009
5223,49969.4192979566,2010
5000,50693.7077823141,2011
5291,51374.2575982167,2012
5463,54709.4442788089,2013
5140,57072.8352526202,2014
5128,55211.9413896178,2015
5175,51433.3530300062,2016
5222,51114.9134638517,2017
